"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1136219155525459968","https://twitter.com/TheSpec/status/1136219155525459968","Today's Editorial Cartoon by Graeme MacKay @mackaycartoons. It's time for Ford's cabinet @fordnation to stop enabling his incompetence.
https://t.co/YDWmRfw4Ns","2019-06-05 10:32 +0000","5268.0","158.0","0.02999240698557327","9.0","8.0","16.0","3.0","113.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136212593079721989","https://twitter.com/TheSpec/status/1136212593079721989","The HMCS Haida and Canadian Warplane Heritage Museum @CWHM aircraft will take part in D-Day 75th anniversary ceremonies Wednesday and Thursday. Here are the details #HamOnt 
https://t.co/1KMZOvygDF","2019-06-05 10:06 +0000","2858.0","88.0","0.03079076277116865","5.0","0.0","20.0","8.0","43.0","2.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136211139568840704","https://twitter.com/TheSpec/status/1136211139568840704","The @cityofhamilton has now issued orders over missing building permits to two different downtown tower developers in two weeks #HamOnt. Story by @Mattatthespec 
https://t.co/V4BRJNDl36","2019-06-05 10:00 +0000","2036.0","65.0","0.03192534381139489","1.0","0.0","0.0","5.0","56.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136203605508272128","https://twitter.com/TheSpec/status/1136203605508272128","""I found out afterwards that the dog off its leash and scaring the wits out of me was Mayor Fred's dog.""
https://t.co/3hIqqJLjJN","2019-06-05 09:30 +0000","8285.0","538.0","0.06493663246831624","1.0","7.0","9.0","11.0","472.0","0.0","38.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136196045241798656","https://twitter.com/TheSpec/status/1136196045241798656","Each ball is then run through the cleaning machine and then brought to another tent right on the range where it's dried by hand on a table covered in towels
https://t.co/DAOqUEaL3b","2019-06-05 09:00 +0000","1922.0","12.0","0.006243496357960458","0.0","0.0","2.0","0.0","9.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136188490448867328","https://twitter.com/TheSpec/status/1136188490448867328","The bad news is that the weather may be taking a turn for the worse on Wednesday. 
https://t.co/qJCl5dpxg5","2019-06-05 08:30 +0000","1692.0","17.0","0.01004728132387707","0.0","0.0","2.0","0.0","15.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136180939145601025","https://twitter.com/TheSpec/status/1136180939145601025","""Absolutely, I'd like to see this business grow, but it will be challenging as I head back to work. I'd love to do it full-time but the business has its peak seasons.""
https://t.co/D2lGgFb3Q1","2019-06-05 08:00 +0000","1729.0","43.0","0.024869866975130134","0.0","0.0","0.0","0.0","39.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136173385799651329","https://twitter.com/TheSpec/status/1136173385799651329","Every Thursday from 4:30-8:30 a.m., Ryan and Kaeko patrol the halls of the #Hamont airport with particular attention paid to the departure lounge,
https://t.co/3Gof9F7k9r","2019-06-05 07:30 +0000","1907.0","20.0","0.01048767697954903","1.0","0.0","5.0","0.0","11.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136165828183896065","https://twitter.com/TheSpec/status/1136165828183896065","Talli Osborne poses for photos in Gore Park in front the fountain for photographer Danielle Blancher 
https://t.co/WRTsJ5l8Q0","2019-06-05 07:00 +0000","1985.0","90.0","0.04534005037783375","0.0","0.0","1.0","4.0","82.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136158293355880448","https://twitter.com/TheSpec/status/1136158293355880448","On May 5, Ball was convicted of first degree murder and sentenced to life in prison with no chance of parole for 25 years. 
https://t.co/1XscSDn3PB","2019-06-05 06:30 +0000","1675.0","64.0","0.0382089552238806","0.0","0.0","0.0","0.0","62.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136150833610022913","https://twitter.com/TheSpec/status/1136150833610022913","Not distracted by all their devices and social media feeds, parents in the past could focus on their children. 
https://t.co/KbR07qCl0K","2019-06-05 06:00 +0000","1494.0","14.0","0.009370816599732263","0.0","0.0","1.0","0.0","10.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136143163188535296","https://twitter.com/TheSpec/status/1136143163188535296","Carrie Underwood's Toronto show — bumped out of its June 9 slot at the Scotiabank Arena by the @Raptors' arrival in the NBA Finals — has a new official date. Ticket-holders should clear their evening on Monday, Oct. 14.
https://t.co/JhqIbdppdJ","2019-06-05 05:30 +0000","1915.0","14.0","0.007310704960835509","2.0","0.0","2.0","0.0","6.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136135674229342209","https://twitter.com/TheSpec/status/1136135674229342209","""I just want what I was sold:"" ICYMI - who could have foreseen that folks who purchased a condo unit at the Connaught would have to pay a toll to use the restored Grand Lobby, the focal point of the 1916 architectural gem?
https://t.co/ANpre6LeX5","2019-06-05 05:00 +0000","2663.0","132.0","0.04956815621479534","0.0","0.0","4.0","4.0","106.0","0.0","18.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136128050624651264","https://twitter.com/TheSpec/status/1136128050624651264","""The fact that both boys have already suffered whooping cough (a vaccine preventable illness) and could be infected with measles just by standing in the same room as someone with measles is tremendously concerning to me,"" 
https://t.co/pBzm2LKZw0","2019-06-05 04:30 +0000","2318.0","59.0","0.02545297670405522","1.0","1.0","1.0","1.0","48.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136120595123511298","https://twitter.com/TheSpec/status/1136120595123511298","Binge-watching, otherwise known as the act of streaming many television episodes in one sitting, is more common and doable than ever. Though that might sound glorious to TV fans, it's a bit worrisome to health experts. 
https://t.co/JtOMitvhKQ https://t.co/OUEojjBGa7","2019-06-05 04:00 +0000","2161.0","16.0","0.007403979639055993","0.0","0.0","1.0","1.0","4.0","0.0","4.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136112961045630977","https://twitter.com/TheSpec/status/1136112961045630977","Just like the hiding spots, the hunt's organizers and the money's source are also a mystery.
https://t.co/cM4lx8UTFU","2019-06-05 03:30 +0000","1886.0","6.0","0.003181336161187699","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136105460359139330","https://twitter.com/TheSpec/status/1136105460359139330","ICYMI: Cindy Beck doesn't pull any punches when talking about her son Dylon Duarte who was arrested for first degree murder in the death of #HamOnt construction worker Tyquan Brown
https://t.co/zrgtrHUCkq","2019-06-05 03:00 +0000","3072.0","172.0","0.055989583333333336","1.0","0.0","2.0","1.0","160.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136097865162481664","https://twitter.com/TheSpec/status/1136097865162481664","""Something really bad must have happened to you for you to want to do this to a sweet, innocent little boy.""
https://t.co/qSi1ABiIXl","2019-06-05 02:30 +0000","4885.0","232.0","0.04749232343909928","0.0","2.0","2.0","5.0","210.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
